,title,author,date,body,rating,seat_type,aircraft_type,seat_layout,date_flown,type_of_traveller,sleep_comfort,sitting_comfort,seat/bed_width,seat/bed_length,seat_privacy,power_supply,seat_storage,recommended,seat_legroom,seat_recline,seat_width,aisle_space,viewing_tv_screen
10,"""totally worn out""",Juan Morel,2019-02-11,"✅ Trip Verified |  It was a long time we did not have a bad experience. Boeing 737-800 seat with extra leg room (30 dollars extra) was hard as wood, most probably totally worn out. An 8 cm sandwich was given on a 3h30 flight and with a candy as dessert. Staff was almost impolite except the head purser who should have been retired 15 years ago.",2,economy class,boeing 737-800,3x3,february 2019,couple leisure,,,,,,1.0,1.0,no,3.0,1.0,1.0,1.0,1.0
11,"""economy seats are non-reclineable""",Colleen Canning,2018-01-02,❎ Not Verified |  Trans Tasman flight from Wellington to Sydney. First time ever I have encountered a plane where all economy seats are non-reclineable. The button  is blanked off flat and cannot be used. I know it’s only a 3.5 hour flight but a little bit of recline so the seat is not stark upright is far more comfortable. I travel and fly several times a year and first time I’ve encountered this. Is this to be the new norm on Qantas Jetconnect flights? I’m keen to know if others have noticed this change?,7,economy class,boeing 737,3x3,december 2017,couple leisure,,,,,,4.0,4.0,yes,3.0,1.0,3.0,3.0,4.0
12,"""find the smallest seat""",Coral Horton,2017-12-01,"✅ Trip Verified |  I was so looking forward to coming home and on a Qantas flight too! So I get on and find the smallest seat since the 70's and the seat in front goes back with a clunk - no halfway decisions here! When the meal is delivered the tray is so small that the only thing they can deliver is a roll, and main and a pudding dumped down unceremoniously. The movie i tried to watch froze at least 6 times. I asked for a reset and got nothing. I just kept restarting the movie and going back to the freeze area and trying again so also on another movie -  Emirates, Etihad, Singapore are all superior to this flight. Qantas used to be so good - what happened? Despite having a few Q FF points left I shall reconsider whether this is the best FF programme for me to be part of.",2,economy class,boeing 747-400,3x4x3,november 2017,solo leisure,,,,,,,2.0,no,2.0,3.0,1.0,1.0,1.0
13,"""the drop in service quality""",G Leane,2017-11-01,"✅ Verified Review |  We have just flown return from Christchurch to Heathrow. Disappointed with Qantas this time after previous trip 2.5 years ago. We were row 70 on the way over late August and row 69 on the way back. This is where the meal service trolleys converge. The customer service was sub optimal, I accept that sometimes you cannot have the meal you'd like, however I do not like being asked what I would like and then being ignored while 8 staff have an 8 way conversation about other people's meals. Very poor, not even an ""excuse me"" from the staff while they spoke to their colleagues. I was the 3rd person to use the toilet after leaving Heathrow , it smelt of urine on the floor and there were grimy hand prints on the area around the lock. Not good when you know you are in the same seat for the best part of 26 hours. I'd question if it was cleaned before departure. The cabin was freezing, I accept that it is for air filtration (and we did not return with a cold, so job done, thanks Qantas) I heard other passengers asking about it to be fobbed off. It was a pleasure to swap onto the Emirates A380 in Sydney for the last leg. We are both experienced long haul travellers and disappointed in the drop in service quality over the last 2.5 years.",4,economy class,a380,3x4x3,october 2017,couple leisure,,,,,,4.0,3.0,no,3.0,3.0,3.0,2.0,4.0
14,"""seat was very uncomfortable""",Z Reabe,2017-10-17,"✅ Verified Review |  It was a Boeing 737-800 from Townsville to Brisbane. It was my first time on a Qantas B737. My seat was 8A in economy, and it was so cramped. Very little legroom. My wife who is shorter than me had also difficult time in her seat 8B. In addition to this, the seat itself was very uncomfortable. I got off the aircraft with a sore back.",2,economy class,boeing 737-800,3x3,october 2017,couple leisure,,,,,,4.0,2.0,no,1.0,1.0,2.0,1.0,4.0
15,"""the poor quality seating""",W Beedham,2017-04-16,"✅ Verified Review |  Terrible seating for a long haul flight on a non-budget airline. The lumbar support was awful, and the leg room was less than I would normally expect on a short haul European flight with the likes of Ryanair or EasyJet. Would never fly again unless prices competed with the budget airlines to match the poor quality seating.",1,economy class,a330-200,2x4x2,april 2017,couple leisure,,,,,,1.0,2.0,no,1.0,1.0,2.0,2.0,3.0
16,"""seats 24A/ are the best""",D Kramer,2016-12-06,"On the Qantas A380 I have to say that for a solo traveller the Premium Economy seats 24A/ are the best to go for. They seem to be blocked for high level frequent flyers until close to departure but if you can snag one do so. These seats are window seats with a window on the exit row and the first row of PE. I've heard reports that people congregate in this area while waiting for the nearby bathrooms but I didn't see that on this flight albeit the cabin was not full. The bathrooms, the rear Business Class ones, are behind a curtain. The leg room is huge and the service starts at your seat. These side pairs of seats in a 2-3-2 cabin could be good for couples too, but the seats on the aisle may see some leg & foot interaction with people walking past during the night. Other reports are that it is cold in this row by the door. But I didn't experience that. The blankets and pillows are as provided in Business Class. The seat is pretty good with a decent width and recline. The TV Screen comes out of the armrest and is of reasonable quality. PE window seats have the added bonus of the side lockers at seat level.",10,premium economy,a380,2x3x2,november 2016,solo leisure,,,,,,5.0,5.0,yes,5.0,4.0,4.0,5.0,4.0
17,"""product is satisfactory""",Francis Wong,2016-10-19,"Standard Boeing 737-800 economy class seat at 3x3 configuration. Seats are comfortable enough with decent recline, for flights under 4 hours, these are fine by me.The seats are fabric not leather, so it's not so hot. Individual air vent to help you keep cool. The product is satisfactory in general.",7,economy class,boeing 737-800,3x3,september 2016,solo leisure,,,,,,3.0,2.0,yes,3.0,3.0,4.0,4.0,4.0
18,"""Good seat all in all""",Justin Sara,2016-08-22,"✅ Verified Review |  Seated in 14E, a middle seat in the exit row on a Qantas flight from Melbourne to Adelaide. Seat was comfortable - great leg room for someone over 200cm tall. The middle seat does have an electronics box under the seat in front (13E) which slightly narrows the space available for your feet. Good seat all in all.",9,economy class,boeing 737-800,3x3,august 2016,couple leisure,,,,,,,1.0,yes,5.0,5.0,5.0,2.0,
19,""" an old plane showing it's age""",W Brakell,2016-07-17,Basically an old plane showing it's age. Not much legroom for such long flights ( trans Pacific) and quite narrow seats. To make things worse the headphone Jacks are on inside so they really narrow the seats another 1/2 inch. The new A380 is better but only just. Hey Qantas you can do better.,3,economy class,boeing 747-400,3-4-3,july 2016,family leisure,,,,,,4.0,4.0,no,1.0,3.0,1.0,3.0,3.0
20,"""great seats for Premium Economy""",A Hardikar,2016-07-15,"My longest flight until now - 17 hours in air but great seats for Premium Economy, very friendly staff and simply amazing food! Plenty of leg room and I think if you take the seats on the sides, then you get more storage space as well. The flight was smooth and staff looked after very well.",10,premium economy,a380-800,2x3x2,june 2016,business,,,,,,5.0,5.0,yes,5.0,5.0,5.0,5.0,4.0
21,"""exceptional seat overall""",F Bolster,2016-04-26,The A330 was an exceptional seat overall. Staff were extremely helpful and provided adequate support during the flight. The inflight entertainment was fantastic and provided a wide variety of entertainment. The seat had great recline and legroom and I could easily have fallen asleep on it. A great option for a travelling family. Route SYD-BNE.,8,economy class,a330,2x4x2,april 2016,family leisure,,,,,,5.0,4.0,yes,4.0,4.0,3.0,5.0,5.0
22,"""they've failed to impress""",Grahame Manns,2016-03-06,"I have to say that the Qantas legs were only what you would call adequate, nothing special for your A$6500. The seat backs are scuffed and scratched and the toilets while clean have obviously seen a lot of use. Row 28 is a refrigerator, beware. I had a broken footrest on one leg which while I could have relocated to another seat on the way over I wouldn't have been able to on the way back and that would have significantly reduced the comfort of the seat. Even then it's still not a huge seat and really it's not that comfortable, I have been more comfortable on a Singapore Airlines economy seat. Staff were quite good, reasonably attentive and fairly cheerful on such a long flight. The food was disappointing. I can't imagine what economy were getting. It was good, but not that good. The full breakfast is full of salt so beware, vegetarian meal was good but the bread was always stone cold, very, very poor. Regular pasta meal my partner had was awful. I don't fly a lot and in recent years it's only been on singapore airlines so I might be spoilt. But, that said, I did shell out the full fare on Qantas for a business class ticket some years ago and it was disappointing. Maybe this is the new normal but for my money Qantas needs to do better. I am the type of person Qantas wants to attract into premium economy but I'd have to say that they've failed to impress.",7,premium economy,a380-800,2x3x2,march 2016,couple leisure,,,,,,4.0,3.0,yes,4.0,3.0,4.0,3.0,3.0
23,"""seat is very large""",Louis Marr,2016-02-20,The seat is very large and comes with a leg rest. The seat reclines very far and TV comes out of the arm rest. There is good leg room so you don't feel claustrophobic and the cabin is quite small which is good. The Tv is quite large and you have storage compartments on the window seats and in front of you.,10,premium economy,boeing 747,2x4x2,february 2016,solo leisure,,,,,,5.0,5.0,yes,5.0,5.0,5.0,5.0,5.0
24,"""seat was very comfortable""",Andrea Vitali,2016-02-12,"I found a very good promotional offer for flying Qantas Premium Economy vs Economy. The seat recline is not as much as I was expecting, but the seat itself was very comfortable. The design is very appealing. The comfort is higher than the hard-shell premium economy seats of some European airlines. The entertainment system is on a screen to pull-out, that makes it more flexible in terms of adjustment. And the size of the screen is pretty good. Response to the touch could be better. On the upper deck of the A380 there are also some additional storing spaces below the window, they are very spacious and extremely convenient. Given the price it was totally worth it!",9,premium economy,a380,2x3x2,february 2016,solo leisure,,,,,,5.0,5.0,yes,5.0,3.0,5.0,4.0,4.0
25,"""a comfy flight""",Jayden Wong,2016-01-25,"Legroom and seat width were fine, TV screen was very good and sensitive. However the USB charger didn't work at all, not just my seat but many others as well. The recline was really good and comfy but beware if you are very tall, you might get trapped. I highly recommend row 44, it's a small little cabin where you can recline once after takeoff and during meal time as exit is right behind without disturbing the others. Also the seat can recline as much as others! I also found the net leg rest very comfort and much more better than the movable leg rest. Note that the lavatories are right next to it but I did not find it annoying as the queue was next to the exit door. Was a comfy flight.",9,economy class,boeing 747-400,3x4x3,december 2015,solo leisure,,,,,,1.0,5.0,yes,5.0,5.0,5.0,5.0,5.0
26,"""legroom is non existent""",Graeme Sharman,2016-01-11,"Horrendous seat space, and terrible design. I was shocked with how small the seat area was - the seats are very narrow (I usually fly an A320 on the same route, and although the seat is only an inch wider, can you notice it). Not only are the seats narrow, but the legroom is non existent. My knees were jammed hard up against the seat in front, and with the design of the seat where if you recline the seat bottom pivots forward, there was no possible way of finding comfort. To add to this, the seat back design has almost no padding, leading my to get muscle spasms just under an hour into the flight - gee it was a fun 4 hours.",1,economy class,boeing 737-800,3x3,january 2016,couple leisure,,,,,,3.0,3.0,no,1.0,1.0,1.0,4.0,3.0
27,"""never choose this seat again""",Tolga Cengiz,2016-01-11,"Upperdeck / Exit Row with Extra Leg Room (90$ additionally). 35J/K The Seats were good very comfortable, but because of the missing window and the temperature of this area I would never choose this seat again. I thought this area could be noiser than the standard economy area in the main deck, but there is no difference!",8,economy class,a380,2x3x2,january 2016,couple leisure,,,,,,3.0,1.0,no,5.0,4.0,4.0,4.0,3.0
28,"""spacing is appalling""",David Stewart,2016-01-09,"Seat spacing is appalling for an international overnight flight, seat pads are thin and after a few hours all our bottoms were aching. Reading lights switch on arm rest triggers lights, with lights flicking on all night. Not what I expect from a full fare airline!!!",3,economy class,a330,2x4x2,january 2016,family leisure,,,,,,4.0,4.0,no,1.0,1.0,2.0,2.0,3.0
29,"""seat pitch is terrible""",D Denis,2015-11-30,"New refurbished seat on A330-300 (red coloured seat). Seat width is OK, but pitch is terrible. Power point and USB charger are available. They provide a net footrest which I don't find it useful as all as I couldn't utilise it to rest my leg. IFE screen was pretty large with touchscreen function.",5,premium economy,a330-300,2x4x2,november 2015,solo leisure,,,,,,4.0,3.0,no,2.0,4.0,3.0,3.0,4.0
30,"""recommend for longer flights""",Réka Skita,2015-11-26,"I had a flight to Melbourne from Dubai this July. The flight attendants were nice, kind and very professional. The plane was not full I sat next to the window and there was no one next to me. The leg space was fine with me as well as the seat itself. It was comfortable. The onboard entertainment fantastic! I was surprised after the flight with the Emirates (which was good) that the Qantas system was better.  The food was okay, not the best I had but enough. I would recommend Qantas for longer flights but not short ones because those are not the best.",9,economy class,a380,3x4x3,july 2015,solo leisure,,,,,,5.0,4.0,yes,5.0,5.0,5.0,4.0,5.0
31,"""comfort was far from what we expect""",Jane James,2015-11-23,"Our recent economy flight from Perth to Adelaide was undoubtedly one of the worst both in terms of value for money and comfort and was far from what we expect from a national airline. The seats were hard and small with very limited leg room. The on board catering was inedible (we generally can eat anything, but not this time ). The coffee was cold and staff generally showed little enthusiasm for service. No more Qantas for us !!",2,economy class,boeing 737-800,3x3,november 2015,couple leisure,,,,,,,1.0,no,1.0,1.0,1.0,2.0,
32,"""spacious and comfortable""",Joseph Sciberras,2015-11-23,"SYD-LAX. Boarding was very smooth, and the cabin was about half full. In-flight entertainment was excellent and the food selection was good too. The cabin crew were nice and attentive. The seat was spacious and comfortable, probably the best premium economy seat I've flown. The quietness made it easy to sleep too. Very enjoyable.",10,premium economy,a380-800,2x3x2,july 2015,business,,,,,,,5.0,yes,5.0,5.0,5.0,4.0,3.0
33,"""ideal for my long legs""",Robin Hicks,2015-10-21,"Flew Qantas SYD-JNB and return. On the westbound flight had seat 49A on one of the older Boeing 747-400s with the older IFE equipment. The usual torture of a 14 hour flight in Y but Qantas seemed to have lifted their cabin service in long haul compared to a few years ago. On the return I had pre selected seat 70A which was ideal for my long legs, with a sizeable gap between the seat and the window. This gap was an ideal place to stow excess pillows and blankets. Meal service seemed poorer on the eastbound flight, but plane had been refurbished with new IFE. One annoying thing with Qantas IFE is that the software doesn't allow you to play a CD album without clicking play after the previous track has finished, meaning you can't chill out to some music. USB power supply did not work on return flight (not fitted on outbound flight). I have found from other Qantas flights that their IFE USB to connect to ones' own device does not work for Android devices",8,economy class,boeing 747-400,3x4x3,october 2015,couple leisure,,,,,,,3.0,yes,4.0,3.0,4.0,3.0,4.0
34,"""the seats are a bit cramped""",David Harrison,2015-09-08,"We flew Qantas to Sydney from London via Dubai. The staff going out were very lacklustre, didn't want to serve anything without forcing them. Missed out part of the meal, staff said help yourselves when questioned and were quite unfriendly.  We were dreading the return but it was marginally better - some of the food choices and quality was poor. The seats are a bit cramped - I have flown with BA and Virgin which were better, and the best by a long way was Thai Airways.",4,economy class,a380,3x4x3,september 2015,couple leisure,,,,,,3.0,3.0,no,2.0,2.0,2.0,2.0,4.0
35,"""seats quite adequate in economy class""",Dick Sims,2015-08-13,If you are five feet tall and weigh less than 40 kilograms you will find the Qantas seats quite adequate in economy class. I am not and I found the Qantas seats quite inadequate. My seat did not recline very far so that when the person in front of me reclined their seat I was left squashed between the front and back seats.,2,economy class,a330,2x4x2,december 2014,solo leisure,,,,,,,1.0,no,1.0,1.0,1.0,1.0,
36,"""seat recline was good""",Heny Pan,2015-07-05,"Pretty good, the entertainment was nice and updated when we were on our flight back from LAX to Melbourne. The recline, seat space and legroom were way better than economy. Though the seat recline was good, when people in front of you recline, it was hard to get out. The little storage beside the window was helpful as well.",7,premium economy,boeing 747-400,2x4x2,july 2015,family leisure,,,,,,4.0,4.0,yes,4.0,3.0,4.0,2.0,4.0
37,"""amenities have been down-graded""",L Barrett,2015-06-11,"I've flown Qantas overseas (Sydney-North America) every year since 1994.  When they introduced Premium Economy with the launch of the new A380, this was a fantastic new flying class in my opinion.  The amenities have been down-graded since then, but over all, I have found the staff on all my flights to be excellent.  I agree that the cost for PE has increased over the years, but if you keep your eye out for flight deals from Qantas and their partners, then the higher price compared to normal economy is not double.  Also if you have the option to book 2-3 months in advance of your travel date, then you also get the chance to select great seats (ie: Exit row, 24J).",8,premium economy,airbus a380,2x3x2,,solo leisure,,,,,,,,yes,4.0,4.0,4.0,4.0,5.0
38,"""seats were not very comfortable""",C Croom,2015-05-30,Have always flown Qantas to NZ and AUS because of the staff and service. This A380 trip in seat 56G was very disappointing. Seats were not very comfortable and no leg room. When the person in front of you reclined their seat and your tray table were in your lap. Even in the aisle seat getting in and out was difficult. DFW-SYD for 16+ hours on this plane was just miserable.,4,economy class,airbus a380,3x4x3,,,,,,,,,,no,1.0,1.0,3.0,3.0,3.0
39,"""impossible to get out of your seat""",E Bratley,2015-05-30,QF I will never pay the extra for Qantas PE again. Nowhere near as good as Air NZ. Although the seat pitch is reasonable it is almost impossible to get out of your seat if the one in front is reclined. You need the agility if a mountain goat. The food is reasonable. The crew on my flights from LHR to Sydney were mediocre at best.,4,premium economy,airbus a380,2x4x2,,,,,,,,,,no,3.0,3.0,4.0,2.0,3.0
40,"""needs extra padding""",Craig Ritchie,2015-03-29,QF 51 & 52 BNE-SIN-BNE. When are Qantas going to put some extra padding in these so called designer seats. Hard as a rock after around 3 hours and somewhat painful after 7 hours in the sardine can. Needs extra padding and the IFE Screen needs to be updated from its piddy 9cm size into a more viewable screen size.,2,economy class,airbus a330-300,2x4x2,,,,,,,,,,no,2.0,3.0,2.0,3.0,1.0
41,"""felt like a short haul seat""",A Mason,2015-03-29,London to Sydney with Qantas in an A380 in row 57 economy. Service and food great but seat pitch was poor and felt like a short haul seat. Changed to an Emirates A380 from Sydney to Auckland in the same seat number and a different experience - more room and better IFE.,2,economy class,airbus a380,3x4x3,,,,,,,,,,no,2.0,2.0,2.0,2.0,3.0
42,"""outstanding product""",Dean Tripp,2015-03-01,LAX-MEL and MEL-LAX - Feb 2015. Got a Premium Economy fare at a steal only $300 more than regular economy why not. PE is just that premium and I will never fly regular economy again. 28D isle on the LAX-MEL leg last row in PE. I am 6'1 and had more than ample leg room to really stretch out. Seat recline accompanied that I could stretch out entirely amazing and I slept 7hrs. Real dishes glass's cutlery even a tray table cloth. Pre-flight Drink wine amenities bag excellent flight crew - atentive. Flight back 26K window. Even better with the additional side storage at the window. ONLY two issues - one in a Window seat hard to get out if like me flying solo. Had to ask my row mate to get up. This was only when the seat in front was reclined. Two - seat could have had a little more padding. Otherwise outstanding product and if you can afford it I more than recomend.,8,premium economy,airbus a380,2x3x2,,,,,,,,,,yes,5.0,5.0,5.0,4.0,5.0
43,"""staff attentive and helpful""",Suzie Hill,2015-01-28,Empty flight so had row of 3 for infant and myself after moving from bassinet seat. Staff attentive and helpful infant food very good. Good entertainment system. Not sure how good it would have been with a full flight as seat width not very wide. Singapore Airlines definitely more spacious and Emirates about the same as Qantas.,3,economy class,boeing 747-400,3x4x3,,,,,,,,,,no,2.0,3.0,2.0,2.0,3.0
44,"""seats were comfortable""",J Taillor,2015-01-28,Dubai-Sydney in Economy Class. Seats were confortable and cabin crew were friendly. They were organised during meal service and passed through frequently to distribute drinks. The meal was disgusting. Hopefully there are some Sodas and cookies in the self-serve in the back of the plane. IFE is complete I enjoyed the language learning lessons. Great selection of films and music. Big and reactive touch screen.,9,economy class,airbus a380,3x4x3,,,,,,,,,,yes,4.0,4.0,5.0,4.0,4.0
45,"""still up there with the best""",L Macleod,2014-11-19,Travelled Sydney to Singapore same seat 35D there and back. Qantas is still up there with the best despite its financial troubles. The seat was a bulkhead row and the seat next to me was empty so plenty of room. These center seats are unpopular so tend to be the last allocated in an airplane that is not full.,7,premium economy,boeing 747-400,2x4x2,,,,,,,,,,yes,5.0,5.0,4.0,5.0,5.0
46,"""seats are most impressive""",Furqan Ahmed,2014-11-19,Premium economy passengers have a dedicated check-in counter and priority boarding. Pre-take drinks service and hot refresher towels. Meals and drinks are served on China and glasses. The seats are most impressive I felt extremely comfortable in these seats and there was no sense that I was encroaching in my neighbors space. Legroom above average with plenty of space between myself and the seat in front of me - even when the seat in front was fully reclined. Seat pitch is far above the limited seat pitch in a conventional economy cabin. Tray tables are stowed in the left armrest and is fully flexible and adjustable to suit the 'shape' of the passenger and the meal service. PTV is stowed in the right armrest and can be used comfortably in conjunction with the tray table. IFE system is fast and responsive and had a good selection of shows and latest releases. A word of caution however is to check the aircraft operating your flight as the PTVs and IFE system was older on my return leg to JNB. Fewer options a more outdated UI and a disappointing experience. Almost all movies had Chinese and/or English subtitles - which for me was a deal breaker and resulted in me rather reading a book. This is a personal preference however but I would of appreciated an option to remove this! Overall a very good experience on QF premium economy - a great option for those wanting a true premium service at a fraction of business class prices!,8,premium economy,boeing 747-400,2x4x2,,,,,,,,,,yes,5.0,4.0,5.0,5.0,4.0
47,"""seats were great""",G Czerwonka,2014-11-19,Seats 24 A&B SYD-DXB-LHR 26 A&B LHR-DXB-SYD. Flight over was exit row great leg room & easy access in the night. The downfall here is it's location to the bathroom in peak times numerous would wait in front of our seat which was annoying. Flight back seats were great I am 6foot 2 and had no issue even when seat in front was at full recline. I got past my travelling partner without the need for them to get up however if the person is unknown to you probably best to ask them to get up. Food was fantastic highly recommend the Q Eat option so you can pre select your main meal prior to travel there is also a pre select only option which was fantastic. Sleep quality good pillow was of amble size & blanket of a high quality. Cabin nice & quiet with very attentive cabin crew. All in all highly recommended.,10,premium economy,airbus a380,2x3x2,,,,,,,,,,yes,5.0,4.0,5.0,5.0,5.0
48,"""given the alternative of 36D and 36E""",Rupesh Goel,2014-08-02,We were given the alternative of 36D and 36E and we did not even realize what we were up for with 36E blocked on the other side we were only left every time to wake up the lady on 36C who was even otherwise unfriendly for the toilet and even relaxing.,1,economy class,airbus a380,2x4x2,,,,,,,,,,no,1.0,1.0,1.0,1.0,1.0
49,"""usual discomfort of economy""",Jim Gracie,2014-08-02,Sydney to London via Abu Dhabi. Rear of top deck. Not worth the price. Usual discomfort of economy at three times the price. Never again.,3,premium economy,airbus a380,2x3x2,,,,,,,,,,no,3.0,1.0,3.0,3.0,5.0
