,title,author,date,body,rating,airport,type_of_lounge,date_visit,type_of_traveller,comfort,cleanliness,bar_&_beverages,catering,washrooms,wifi_connectivity,staff_service,recommended,lounge_name
17,"""one of the best lounges""",S Kashihama,2019-08-31,"✅ Trip Verified |  This is one of the best lounges I have visited. It has dining area, which is well served and has great selection of menu for breakfast. I wonder how it will be for dinner. Shower rooms are clean and have plenty of space. It even has a spa that needs reservation.",10,sydney airport,first class,august 2019,,5,5,5.0,5.0,5.0,5.0,5.0,yes,qantas first
18,"""the place was heaving""",J Mears,2019-08-13,✅ Trip Verified |  I'm probably in the company of many frequent flyers who have a gripe about the otherwise superb lounge at Changi. It just become a complete scrum at certain times. I was on QF2 en route to Sydney and the place was heaving. Had a quick shower and a plate of fruit but at the bar. Otherwise the place was packed. Qantas need to control numbers by limiting Qantas club members. The new First lounge cannot come soon enough.,8,singapore changi airport,business class,july 2019,business,2,5,4.0,4.0,5.0,5.0,4.0,yes,
19,"""one of my favourite QF lounges""",J Mears,2019-08-13,✅ Trip Verified |  The London lounge is a great place to visit. Great bars upstairs and downstairs plus table service. The buffet is good although this time the sponge cake was missing. I got there early and so had quite a few hours to spend there. It does get very busy and so took refuge in the book stores outside before heading off to the flight. Great barman this time who was very amusing. Some of the other staff could be a little more friendly but overall one of my favourite QF lounges.,10,london heathrow airport,business class,july 2019,business,5,5,5.0,4.0,5.0,5.0,4.0,yes,
20,"""superb First Class lounge""",J Mears,2019-08-13,"✅ Trip Verified |  QF Platinum has advantages and one of those is the superb First Class lounge in Sydney. In all respects a superb place to while away a few hours. I'm a creature of habit and he salt and pepper squid with the pork bao buns does it for me. Champagne also (even though its was 11.30 am). As one would expect of a lounge operated by Sofitel, things run well. A great view over the main runway but sadly had to run to catch the plane.",10,sydney airport,first class,july 2019,,5,5,5.0,5.0,5.0,5.0,5.0,yes,
21,"""ample seating for work""",C Kean,2019-07-22,"✅ Trip Verified |  The Strata Lounge design and ample seating for work is fantastic. In peak hours the lack of tables for eating is disappointing though. The biggest improvement needed is the quality/availability of restrooms. Some locks don't work and the lack of chairs, lack of ample hooks is very disappointing. Nevertheless the great thing about Strata is the consistent effort to improve the food offerings. This morning's visit the dishes were outstanding. Smoked salmon, great sushi and other gourmet offerings were superb. During off-peak hours the peaceful atmosphere is really enjoyable.",9,auckland airport,pay to use,july 2019,,5,5,4.0,5.0,3.0,5.0,4.0,yes,strata lounge
22,"""experience was extremely poor""",D Garvey,2019-07-07,"✅ Trip Verified |  I used the Qantas business lounge in Sydney prior to a flight to Paris. I have used the lounge on many occasions in the past but this visit was very disappointing. On arriving, I sat next to power points so that I could charge my phone. None of the four points worked so I was forced to move to another chair. It was then that I noticed the food remains that were all over the carpet. They were there when my flight was called almost two hours later. The carpet itself was also dirty and in need of cleaning or replacement and my chair was the same. The hot food was extremely disappointing with a tasteless soup and only one other hot meal that was extremely poor. The only cheese available was small cubes of cheap cheddar. The red wine was 19 Crimes, a very average wine that retails for $12 per bottle. Hardly a wine to inspire business class travellers. The whole experience was extremely poor and particularly for Qantas’ home lounge.",2,sydney airport,business class,may 2019,business,2,1,2.0,1.0,3.0,3.0,3.0,no,qantas business class lounge
23,"""A very pleasant space """,J Buchan,2019-06-26,✅ Trip Verified |  A very pleasant space to spend 90 minutes or so after a long flight from Europe before my final flight home. On some weekday mornings the lounge can be very busy but the day I visited there was no shortage of seats and I had a nice breakfast and barista made coffee before catching flight to the Gold Coast.,8,sydney airport,business class,august 2018,business,4,5,4.0,4.0,4.0,,4.0,yes,domestic business
24,"""disappointment was the food""",P Huang,2019-05-21,"✅ Trip Verified |  After reading some reviews, I was excited to visit this space before my flight home to Sydney. The interior is very contemporary with a great view over the tarmac that attracts amazing natural lighting and plenty of seating with charging ports. The staff were very friendly, and were helpful whenever needed. The shower facilities were great too, incredibly clean. The main disappointment was the food, it was mainly food to snack on rather then having a decent meal. Being a third party lounge, it's decent but I wouldn't recommend spending more than an hour in this space before your flight.",7,kansai international airport,frequent flyer,may 2019,,4,4,2.0,2.0,4.0,5.0,3.0,yes,
25,"""catering is first class""",W. Robert Kmen,2019-05-18,"✅ Trip Verified |  Anyone who has an chance to visit the QANTAS lounge at Hong Kong should seize the opportunity. The tended bar is a marvel, and the catering is first class. There are more than enough shower rooms even during peak departure times. The rooms are luxurious and spotlessly maintained. The lounge's large windows overlook the departure gates and the tarmac, but lamentably, at night they reflect the concourse lighting and are pretty opaque. They would be ideal for a daytime visit. All of the attendants were personable and outgoing, which I believe reflects Australian culture. Flying business class with Royal Jordanian, I had a choice of five Cathay Pacific lounges as well as this QANTAS lounge. As a lifetime member, I also could have visited the United Club, which was actually right above our departure gate. I think I made the right choice going with QF.",10,hong kong airport,business class,may 2019,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,
26,"""background Muzak was an irritation""",David Ellis,2019-05-18,"✅ Trip Verified |  The Qantas Heathrow lounge is one of the newest in T3 and its major selling point apart from the gin bar are the two levels, with a dining area on the ground floor and the bar area upstairs. Despite the ample space, it was overly busy and the background Muzak was an irritation. Drinks (water included) had to be requested from the bar and the buffet was even worse than BA’s offerings in their T3 First lounge. Wi-fi was incredibly slow. Apart from the helpful staff on reception, staff seemed disinterested. On a positive note, the toilets were spotless and unisex.",5,london heathrow airport,first class,may 2019,,3,3,3.0,2.0,4.0,2.0,2.0,no,
27,"""food was surprisingly bad""",Juan Morel,2019-02-07,"✅ Trip Verified |  What a pity.  The structure of the lounge is quite ok. Armchairs are not enough comfortable and deco is from the 90s. But it is quiet. But the food was surprisingly bad. We arrive at 11 am and the breakfast was still there. Imagine dry hash brown as rock, dust scramble eggs. What is the reason? Management. 6 staff laughing in the kitchen and chatting",5,auckland airport,business class,february 2019,business,3,3,2.0,1.0,4.0,4.0,1.0,no,
28,"""due for a refurbishment""",P Huang,2019-02-04,"✅ Trip Verified |  I think on first impression it is a better offering than the Lounge at Auckland. In saying that, it is due for a refurbishment as everything just looks dated and in need of life. Since I was the first passenger in the Lounge, it was great to have food freshly made from eggs, bacon and pastries. Not much options in the drinks department, mainly coffee and soft drinks. The Lounge was very clean, including the bathrooms. Only 2 team members were present during my visit, I didn't see too much of them. Overall, it's a decent offering as I do prefer it over the Auckland Lounge but Qantas needs to lift its game in the Lounge department.",6,wellington airport,frequent flyer,january 2019,,3,4,2.0,3.0,3.0,3.0,2.0,yes,
29,"""Very ordinary lounge""",B Hay,2019-02-04,"Not Verified |  Very ordinary lounge, poor food and little option. No champagne served in a business lounge for business paying clients - all that was offered was $12 bottles of sparkling wine which was horrible. Wifi was okay.",3,brisbane airport,business class,january 2019,business,2,3,1.0,1.0,3.0,3.0,3.0,no,
30,"""quite disappointing""",Ellie Nik,2019-01-30,"✅ Trip Verified |  For the most part quite disappointing. For me the lack of natural light and very small size area was the biggest weakness . There were no views overlooking the tarmac . The layout seem quite squashed too. I was leaving around 12pm lunch time, but the food selection was poor, very limited in variety . Unlike the bigger, major airports there was no separate business class lounge that is more exclusive . However the biggest strength was being within a few steps of my departure gate 3. In addition , the decor is contemporary. I wouldn’t revisit.",4,gold coast airport,frequent flyer,october 2018,,1,3,2.0,1.0,2.0,5.0,2.0,no,qantas club
31,"2fairly congested at times""",Leon Ha,2019-01-29,"✅ Trip Verified |  Malaysia Airlines Enrich Gold, Business Class and Business Suites passengers flying out of Sydney T1 International Airport are entitled to access the Qantas Business Lounge. The receptionists are friendly and the sign-in was really quick. The Qantas Lounge layout is fairly rectangular, with plenty offerings available to passengers. There are also plenty of seats around the lounge, as well as different sitting arrangements to cater to different passengers and their needs. My first stop was the shower facilities. There were no towels available and I had to look around for a lounge staff member to get my amenities and towels for me. The shower room is fairly spacious, and comes with its toilet unit. Lunch is available after 11.30am The is Mediterranean tomato and basil soup, five different types of salad, steam jasmin rice, steam vegetables and braised red chilli chicken. The chicken was well-cooked and the meat falls off the bone easily. The salad is really refreshing and good choice for warm summer days. There are also different choices of alcohol and non-alcoholic beverages available. The downside of the lounge is because it is open to not only Qantas passengers, but as well oneworld airlines and Qantas partners, making the lounge fairly congested at times. Whilst there are a lot of staff on duty, they struggled a little to clean after the passengers.",8,sydney airport,business class,january 2019,business,5,4,5.0,4.0,4.0,,4.0,yes,qantas business lounge
32,"""seems like a lousy lounge""",C Lang,2019-01-18,"✅ Trip Verified |  This seems like a lousy lounge. This lounge has been refurbished, but it seems like it does not indulge the requirements for being a lounge for premium passengers. The seats are not comfortable and tables are quite small. The time I visited the lounge was in the morning, so there were a lot of passengers at that time. But this was not a problem at all. Indeed, it feels like no staff was willing to clean up the rubbish and mess from previous passengers. The floor and tables looked dirty, and I had to pack things up by myself. Food choices were limited and staff in the bar were reluctant to smile and show their professional hospitality manners. Compare to other lounges I visited, this was an absolute joke. I really hope they can put their time and effort into improving it, as it was utterly pathetic. I would definitely choose other lounges if there were other oneworld lounges at the Brisbane International Airport.",1,brisbane airport,business class,november 2018,business,1,1,1.0,1.0,1.0,1.0,1.0,no,qantas club
33,"""Seating was difficult to find""",W Fane,2018-12-26,✅ Trip Verified |  Qantas International Business Class Lounge is below expectations. Pooling and sharing lounges appears to have hit critical mass. This lounge was at capacity. Seating was difficult to find and the lounge felt like a fancy boarding gate lounge. Comfort and privacy are not terms I would use for this facility. Toilets and showers were sub standard and unmaintained. This lounge is not intimate nor relaxing.,4,sydney airport,business class,november 2018,business,2,2,3.0,3.0,2.0,3.0,3.0,no,
34,"""Lounge is incredibly old and small""",P Huang,2018-11-25,"✅ Trip Verified |  Not impressed by any standards. The Lounge is incredibly old and small, it's in real need of a renovation. Though it's functional, it really lacks the premium presence from my past experience. The biggest down fall was the catering, there was hardly any food during breakfast and beverages was very limited. Hopefully the renovations will bring back some life to the space.",5,auckland airport,first class,november 2018,,3,4,2.0,1.0,4.0,4.0,3.0,no,
35,"""Compact little lounge""",Mark Atkinson,2018-11-12,✅ Trip Verified |  Compact little lounge located downstairs at terminal 2. Excellent staff who frequently come around and offer items from the buffet. Good wifi and plenty of nice little areas to get comfy. Food good and I particularly like the hash browns! Unfortunately the lounge has no view due to it's location. Good showers and bathrooms always clean.,7,melbourne airport,business class,october 2018,business,4,5,4.0,4.0,5.0,5.0,5.0,yes,melbourne
36,"""one of the best Lounges""",P Huang,2018-10-29,"✅ Trip Verified |  
My partner and I were made very welcome upon entry then we were at the dining area to enjoy breakfast. There is an a la Carte style dining experience from a menu by Chef Neil Perry. The Lounge overlooks the tarmac, making plane spotting a breeze. Staff were very present making sure passengers were comfortable and served refreshments. I didn't make use of the Spa Treatments on request. Overall, one of the best Lounges I have visited.",8,sydney airport,first class,october 2018,,3,5,4.0,3.0,5.0,4.0,4.0,yes,
37,"""Definitely worth a visit""",P Huang,2018-10-08,"✅ Trip Verified |  My first visit to this Lounge, for a regional location I like that it's spacious with a decent food and beverage offering. The space had 3 sections including a dining area and a kids playroom, an aspect plenty of Lounges lack. The only thing to point out is the lack of power points, other then that the Team were always present with keeping the space clean and ready to assist when needed. The best feature was the view over the tarmac heading into the mountains. Definitely worth a visit if travelling with Qantas.",7,cairns airport,frequent flyer,october 2018,,4,4,4.0,3.0,4.0,4.0,3.0,yes,qantas club
38,"""a place to park and freshen up""",Neil Jeram,2018-10-05,✅ Trip Verified |  Qantas does not have its own lounge at Johannesburg and passengers are directed to the Shongololo Lounge. It is small and looks compact compared to the Emirates and Star Alliance ones. The F&B was limited; stuck to tea and snacks. Managed to grab a shower and that was also ok; nothing to write home about. It became very very busy to the point where it was easier to find space out in the terminal. Overall its a place to park and freshen up. This is Africa and things move to a different rhythm.,7,johannesburg airport,frequent flyer,august 2018,,4,3,2.0,2.0,2.0,3.0,2.0,yes,shongololo lounge
39,"""an embarrassment to Qantas""",David Dale,2018-09-23,"✅ Trip Verified |  The Qantas Club Rockhampton Lounge is the worst. It’s a small box with no view to anywhere; has a waterlogged stench; the food selection is grim; the toilet is area is tight, the toilet was disgusting. It’s an embarrassment to Qantas and QantasLink.",2,rockhampton airport,frequent flyer,september 2018,,1,2,1.0,1.0,1.0,5.0,,no,qantas club
40,"""continues to disappoint""",R Teale,2018-09-06,"✅ Trip Verified |  The Sydney QANTAS Business lounge continues to disappoint. I travel QANTAS every 3 weeks and use the Sydney (and other) lounge/s for an expected comfortable experience and a hearty breakfast. I usually travel early in the day and this unfortunately finds me in the lounge at a time when it's often crowded. Sometimes I have to roam around until someone leaves before I can even have a seat. There are not enough places designed for eating at. Then there's the food. It's terrible. The mean-spirited selection goes from giant buckets of very sour Greek style yoghurts with fruity toppings dolloped on, to cold over sticky sweet Danish style pastries, to under cooked bland sausages (steamed in a covered bain-marie) with re-constituted egg slops swimming in yellowish water and steamed slightly mushy hash-browns and incredibly badly cooked bacon. There is a selection of supermarket breads one can put in a toaster. There is also a 'selection' of juices. Apple or Orange, and that's it. You're expected to eat this pathetic offering on a tiny plate, using pressed metal cutlery that's difficult to hold, often whilst sitting in a too-low 70's vinyl arm-chair with your plate on your knee (or for a greater degree of difficulty, use the little coffee table beside you). All-in-all, the QANTAS business lounges don't rate well when compared with its peers.",2,sydney airport,business class,september 2018,business,2,3,4.0,1.0,2.0,4.0,4.0,no,
41,"""lack of charge ports""",Stephen York,2018-08-26,"✅ Trip Verified |  New Business Lounge and had upgraded my flight so fortunate to be in the newly reopened and renovated Lounge. All very nice, good variety of food and drink options. New seating plan and good views of runways. The one thing I simply cannot understand is the lack of charge ports. They really need to do a walk-through some of the Virgin Lounges to see how easy it is. I literally had to get down on my hands and knees to find the port to plug my USB into under the chair I'm sitting on right now. So much free standing seating with no ports either. Attention Qantas - business travelers need charge ports!  Hard to believe no one in the design team thought about this.",5,melbourne airport,business class,august 2018,business,4,4,4.0,5.0,4.0,5.0,3.0,yes,qantas
42,"""a great place to relax""",David Kimbell,2018-08-11,"✅ Trip Verified |  Qantas Club Cairns is a great place to relax prior to flying. The lounge is located only a short stroll from the departure gates and offers a great view of the tarmac. Compared to many other Qantas Club's at smaller airports in Australia, Cairns is quite large and there is plenty of room. On my visit the lounge was almost empty. Food and beverage selection was quite extensive with staff serving drinks from the bar or self service wine and sparkling. The lounge also has shower facilities and staff supply an shower kit on request.",8,cairns airport,frequent flyer,july 2018,,5,5,4.0,4.0,5.0,5.0,5.0,yes,qantas club
43,"""the lounge was packed""",Vincent Oomen,2018-08-02,"Not Verified |  I entered the Qantas lounge at Heathrow airport in the evening, before my QF2 flight to Singapore. There seems to be no separate section for first class/platinum. The lounge was packed with people. Impossible to find a table to have something to eat. The little tables in the seating area were filthy. The lounge was very noisy with a lot of children running around and playing on the ground. Service at the bar was below average with the bartender seemingly annoyed that I asked for a drink. I had to sit down between uncleared dishes. Queues or the toilet. The toilets themselves dirty. The idea of a lounge is to unwind and relax before a flight. This lounge does the opposite. I will look for another lounge next time.",2,london heathrow airport,business class,july 2018,business,1,1,1.0,,1.0,,1.0,no,
44,"""worth a longer visit""",L Huang,2018-07-27,"✅ Trip Verified |  First time visit to this domestic Lounge as I recently reached Platinum Tier with Qantas. Such an amazing space with a great layout from dining, relaxation and taking care of business. I especially love the natural lighting and the catering, so much on offer. On my visit it wasn't too busy as I enjoyed the silence which helped me deal with some overdue emails. Definitely worth a longer visit when given the chance.",8,brisbane airport,business class,july 2018,business,4,5,4.0,3.0,3.0,4.0,3.0,yes,
45,"""lounge is magnificent""",Neil Jeram,2018-05-25,"✅ Trip Verified |  I was on a Cathay flight to Sydney having arrived on BA. Qantas is my home airline and so although could have used the Cathay lounges (which are superb in their own right) headed for the HK Qantas lounge. Now a word of warning. It is tucked away above Gate 15 accessible from Level 7. My incoming was at Gate 60 or something. It is a long long long walk! Half way through was reaching for my Uber app and thinking I should have packed a sandwich! Joking aside the walk is worth it (although I am a Qantas FF and biased). The lounge is magnificent. F&B, showers, seating areas, the whole thing. It outshines Singapore which is pretty great. If Mr. Joyce is reading then this and the Singapore lounges are the blueprint please for a renovation of the Sydney lounge.",10,hong kong airport,business class,may 2018,business,5,5,5.0,5.0,5.0,5.0,5.0,yes,hong kong
46,"""most unenjoyable place to be""",Chris Dunlop,2018-04-22,❎ Not Verified |  Located on the garden level lack of signage makes this a difficult lounge to find. Had to ask directions from staff at other airline lounges before finding 1 sign directing me to the lounge. When entering the lounge there is the mandatory reception desk with a staff member pointing out food options and seating and apologising for the crowd. Did a quick circuit of the lounge and understood why there was limited signage. This is without a doubt the worst Qantas lounge I have been to. Cramped seating dirty dishes on every free table lack of natural light. A most unenjoyable place to be. As such we left preferring to be in the terminal where there is at least fresh air.,1,honolulu airport,business class,april 2018,business,1,1,,1.0,,,1.0,yes,qantas lounge
47,"""a huge disappointment to me""",Attila Toth,2018-03-31,"✅ Trip Verified |  This Qantas Business Lounge was a huge disappointment to me, which I used as a Qatar Airways customer.  I visited the lounge in the evening around 5-9 pm, before boarding the Qatar Airways flight to Doha. I was told that a la carte dining was only available for breakfast and lunch but not for dinner. The buffet had two hot meals, one of them a veggie option. There was no apple or orange juice, only sodas. Very poor wine and bubbly range and not too many spirits. The toaster station looked like an industrial kitchen area. The seating areas of the lounge were in lack of decor, the back of the lounge looks like unfinished and waiting for an interior designer team. The only problem is that it has been in place for 5 years at least. Though runway view is advertised to this lounge, the view is actually very limited. The sinks in the toilet have a weird arrangement, difficult to describe, but there are two sinks placed opposite to each other but shifted on one counter, so another person can stand almost opposite to you. Showers are nice and spacious, though I had to run the water for couple of minutes waiting for the hot water. If I had had another option for lounge access I would have chosen anything else but this. This quality is way lower than what I except from an airline lounge.",4,sydney airport,business class,march 2018,business,3,4,2.0,2.0,4.0,5.0,2.0,no,
48,"""staff are very nice""",Robert Berr,2018-03-23,"✅ Trip Verified |  23 mins for a glass of champagne. It’s a bit long when you’re in a hurry. Also didn’t have time to finish my food. The lounge was busy, but not full to capacity. Otherwise it’s a nice lounge. Seats comfortable, staff are very nice and helpful. It’s just a bit slow",7,sydney airport,first class,march 2018,,4,5,3.0,3.0,5.0,5.0,5.0,yes,
49,"""made the most of the lounge""",Neil Jeram,2018-03-20,"✅ Trip Verified |  I may be in the minority but I have grown used to the Qantas routing to London via Dubai as the transit is seamless and the Emirates lounges are fantastic. I had a long layover and made the most of the lounge there. It is very large and so finding a corner is not a problem. Arriving there at 1am meant it was quite empty. Found one of those enclosed day beds they have their, like a mini cabin and dozed for a few hours. The food and beverages changes so a midnight snack of a slider changes to a full breakfast service. After breakfast a shower and onwards. I may well be tempted to use the Dubai route on a Qantas code share as the timing suit my schedules, ease of transit and the lounges.",9,dubai airport,business class,march 2018,business,5,5,5.0,5.0,5.0,5.0,4.0,yes,emirates
50,"""classy looking lounge""",Neil Jeram,2018-03-20,"✅ Trip Verified |  My second visit to this lounge and really enjoyed it, more so than the first time. Its actually a very classy looking lounge with the bars up and downstairs. The food and beverage has improved from my first visit. Seating is fine. Great showers and just a nice place to visit before setting off.",9,london heathrow airport,business class,march 2018,business,5,5,5.0,4.0,5.0,5.0,4.0,yes,qantas london lounge
51,"""This was not a great visit""",P Huang,2018-02-20,"✅ Trip Verified |  This was not a great visit. I'm quite a tolerant person but since the Melbourne Qantas Club started it's renovations it has become so overcrowded. The fact that frequent flyers are bringing in guests and taking up whole tables is a joke. It's common sense to cut down on some benefits and prioritise the true frequent flyers, rather than have a chaotic lounge filled with people who aren't even flying or just guests. I spent 15 minutes in the lounge and just could not stay any longer, you're better off being in the Business Lounge. I hope my next visit is not over shadowed by a crowd.",4,melbourne airport,frequent flyer,february 2018,,2,4,1.0,1.0,3.0,1.0,1.0,yes,qantas club
