title,text,rating
"""it was a nightmare""","['trip', 'verified', 'qantas', 'flight', 'auckland', 'melbourne', 'delayed', 'hour', 'half', 'result', 'that', 'mised', 'conecting', 'flights', 'them', 'given', 'acomodation', 'lounge', 'aces', 'stranded', 'airport', 'hours', 'boked', 'hour', 'total', 'flight', 'journey', 'via', 'dubai', 'requested', 'staf', 'least', 'give', 'lounge', 'aces', 'could', 'shower', 'would', 'long', 'flight', 'journey', 'would', 'enough', 'time', 'freshen', 'hours', 'put', 'together', 'nightmare', 'hope', 'changes']",0
"""a glorified budget airline""","['trip', 'verified', 'traveled', 'qantas', 'waga', 'waga', 'sydney', 'manila', 'economy', 'busines', 'clas', 'times', 'past', 'yrs', 'every', 'flight', 'l', 'encountered', 'problems', 'ranging', 'extra', 'leg', 'rom', 'seat', 'boked', 'paid', 'advance', 'provided', 'inflight', 'entertainment', 'working', 'lost', 'bagage', 'informed', 'qantas', 'time', 'disapointment', 'reply', 'refundcompensation', 'qantas', 'last', 'decade', 'gone', 'respected', 'airline', 'view', 'glorified', 'budget', 'airline', 'interested', 'botom', 'line', 'profit', 'pros', 'plane', 'crews', 'cons', 'cramped', 'seating', 'average', 'fod', 'complaint', 'response', 'nil']",0
"""I wouldn't recommended to anyone""","['trip', 'verified', 'tok', 'qantas', 'way', 'jakarta', 'melbourne', 'brisbane', 'sydney', 'back', 'jakarta', 'reason', 'tok', 'qantas', 'direct', 'flights', 'one', 'routes', 'handling', 'staf', 'damaged', 'delsey', 'lugage', 'bags', 'therefore', 'file', 'complaint', 'online', 'seing', 'airline', 'knew', 'going', 'anything', 'reply', 'wek', 'asked', 'take', 'lugage', 'survey', 'acording', 'bag', 'store', 'damaged', 'bags', 'get', 'repaired', 'sending', 'emails', 'qantas', 'agred', 'pay', 'mere', 'compensation', 'aud', 'damaged', 'bags', 'mailed', 'saying', 'fair', 'said', 'closed', 'case', 'compensation', 'received', 'sort', 'airline', 'this', 'mention', 'ground', 'staf', 'unhelpful', 'plus', 'self', 'check', 'machines', 'work', 'properly', 'furthermore', 'flight', 'enough', 'snacks', 'kids', 'get', 'first', 'last', 'time', 'traveling', 'thus', 'airline', 'recomended', 'anyone']",0
"""A big thanks to Qantas""","['verified', 'big', 'thanks', 'qantas', 'bonza', 'colapsed', 'stranded', 'qantas', 'gave', 'fre', 'flight', 'home', 'customer', 'service', 'exceptional', 'airport', 'flight', 'cant', 'thank', 'enough']",1
“return trip was a disaster”,"['trip', 'verified', 'first', 'flight', 'qf', 'great', 'return', 'trip', 'qf', 'disaster', 'seats', 'ok', 'staf', 'fod', 'terible', 'don', 't', 'explore', 'inflight', 'entertainment', 'se', 'qantas', 'entertainment', 'a', 'limited', 'compared', 'aircraft', 'staf', 'wasn', 't', 'profesional', 'lack', 'comunication', 'flight', 'unlike', 'qf', 'fod', 'bigest', 'problem', 'flight', 'bef', 'coked', 'tough', 'eat', 'plate', 'smal', 'compared', 'airlines', 'i', 've', 'flew', 'lounge', 'great', 'fod', 'stil', 'somewhat', 'limited', 'to', 'next', 'time', 'travel', 'back', 'australia', 'would', 'consider', 'malaysia', 'airlines', 'singapore', 'airlines', 'instead', 'qantas', 'beter', 'airline', 'course', 'first', 'last', 'time', 'qantas', 'busines', 'clas']",0
“Great service”,"['trip', 'verified', 'great', 'service', 'kind', 'crew', 'flight', 'decent', 'fod', 'lot', 'nice', 'drink', 'options', 'crew', 'amazing', 'realy', 'caring', 'trying', 'help', 'whatever', 'way', 'posible']",1
"""avoid using Qantas again""","['trip', 'verified', 'decidedly', 'average', 'flight', 'plane', 'old', 'inside', 'cabin', 'seats', 'close', 'together', 'leg', 'rom', 'por', 'fod', 'probably', 'worst', 'flight', 'would', 'avoid', 'using', 'qantas', 'likely']",0
"""Never flying you ever again""","['trip', 'verified', 'horible', 'experience', 'flying', 'qantas', 'never', 'recomend', 'anyone', 'flying', 'them', 'long', 'multi', 'port', 'trip', 'boked', 'qantas', 'quenstown', 'jakarta', 'many', 'last', 'minute', 'adjustments', 'including', 'moving', 'us', 'low', 'cost', 'carier', 'jetstar', 'ultimately', 'delayed', 'made', 'us', 'mis', 'flight', 'boked', 'hotel', 'due', 'terible', 'terible', 'flight', 'planing', 'digital', 'check', 'system', 'sydney', 'airport', 'doesnt', 'even', 'work', 'check', 'way', 'bag', 'drop', 'ultimately', 'forcing', 'pl', 'raise', 'hands', 'asistance', 'leads', 'chaotic', 'queuing', 'system', 'disorganized', 'causing', 'huge', 'pile', 'people', 'frustrated', 'waiting', 'get', 'machines', 'runing', 'customer', 'service', 'capable', 'handle', 'isues', 'efectively', 'solutionoriented', 'loking', 'solve', 'whats', 'easiest', 'her', 'colective', 'pasengers', 'never', 'flying', 'qantas', 'jet', 'star', 'ever', 'again', 'initialy', 'boked', 'return', 'flight', 'jakarta', 'quenstown', 'qantas', 'flight', 'paid', 'ful', 'price', 'not', 'promo', 'fare', 'return', 'flight', 'consisted', 'conecting', 'flights', 'quenstown', 'sydney', 'sydney', 'singapore', 'singapore', 'jakarta', 'rescheduled', 'conecting', 'flight', 'singapore', 'jakarta', 'became', 'hour', 'layover', 'singapore', 'and', 'suposed', 'land', 'pm', 'sgt', 'boked', 'hotel', 'rom', 'singapore', 'airport', 'hoping', 'get', 'god', 'night', 'slep', 'catching', 'flight', 'back', 'home', 'however', 'day', 'departure', 'quenstown', 'got', 'airport', 'told', 'staf', 'qantas', 'flight', 'quenstown', 'sydney', 'changed', 'jet', 'star', 'flight', 'got', 'delayed', 'hour', 'caused', 'us', 'mis', 'conecting', 'flights', 'landed', 'sydney', 'ran', 'gate', 'plane', 'left', 'asked', 'qantas', 'staf', 'asking', 'clarity', 'said', 'this', 'jetstar', 'problem', 'problem', 'end', 'got', 'transit', 'desk', 'sorted', 'next', 'flight', 'next', 'day', 'today', 'th', 'april', 'checked', 'flight', 'kiosk', 'machine', 'many', 'isues', 'lot', 'lines', 'piling', 'up', 'ended', 'get', 'one', 'qantas', 'staf', 'help', 'afterwards', 'drop', 'bag', 'thru', 'machine', 'again', 'automated', 'working', 'suposed', 'to', 'mind', 'you', 'machine', 'qantas', 'bag', 'drop', 'machines', 'airport', 'working', 'again', 'line', 'piling', 'up', 'asked', 'qantas', 'staf', 'hapened', 'do', 'we', 've', 'waiting', 'front', 'non', 'working', 'machine', 'god', 'minutes', 'explained', 'bit', 'hapened', 'ask', 'us', 'wait', 'god', 'knows', 'long', 'without', 'giving', 'solutions', 'told', 'nicely', 'nice', 'wait', 'talked', 'back', 'oh', 'nice', 'wait', 'find', 'somewhere', 'else', 'drop', 'it', 'service', 'qantas', 'never', 'flying', 'ever', 'again', 'thats', 'disapointed', 'company']",0
"""they treat customers terribly""","['trip', 'verified', 'qantas', 'flight', 'qf', 'codeshare', 'westjet', 'left', 'vancouver', 'sydney', 'april', 'diverted', 'honolulu', 'alegedly', 'major', 'electrical', 'systems', 'failed', 'plane', 'land', 'closer', 'fiji', 'time', 'qantas', 'decided', 'turn', 'back', 'honolulu', 'went', 'qantas', 'hotel', 'flight', 'rescheduled', 'hours', 'later', 'problem', 'told', 'qantas', 'staf', 'buses', 'would', 'pick', 'us', 'hotel', 'next', 'day', 'take', 'us', 'airport', 'am', 'however', 'buses', 'showed', 'up', 'received', 'contact', 'qantas', 'rumour', 'went', 'around', 'flight', 'delayed', 'received', 'texts', 'emails', 'delay', 'manage', 'boking', 'page', 'work', 'anyone', 'flight', 'rumour', 'went', 'around', 'flight', 'leaving', 'later', 'day', 'everyone', 'went', 'airport', 'expense', 'bags', 'checked', 'people', 'went', 'security', 'multiple', 'hours', 'waiting', 'flight', 'delayed', 'qantas', 'sent', 'wrong', 'plane', 'sydney', 'bring', 'pasengers', 'back', 'sydney', 'rested', 'crew', 'unable', 'fly', 'type', 'plane', 'finaly', 'mesage', 'received', 'email', 'saying', 'flight', 'delayed', 'am', 'folowing', 'morning', 'people', 'left', 'airport', 'cost', 'went', 'airport', 'folowing', 'morning', 'cost', 'again', 'time', 'plane', 'take', 'of', 'pasengers', 'told', 'textemail', 'new', 'flight', 'asking', 'pasengers', 'agre', 'stay', 'honolulu', 'extra', 'days', 'checkin', 'plane', 'smaler', 'one', 'flown', 'us', 'vancouver', 'due', 'failure', 'comunicate', 'empty', 'seats', 'flight', 'back', 'ran', 'catered', 'fod', 'fly', 'frequently', 'never', 'sen', 'hapen', 'stewarts', 'even', 'reached', 'half', 'way', 'plane', 'ran', 'one', 'choice', 'people', 'ordered', 'special', 'meals', 'get', 'information', 'transfered', 'original', 'vancouver', 'sydney', 'flight', 'new', 'flight', 'time', 'qantas', 'saying', 'would', 'reimburse', 'us', 'taxis', 'airport', 'fod', 'nights', 'acomodation', 'mised', 'sydney', 'qantas', 'refusing', 'pay', 'even', 'reimburse', 'seats', 'paid', 'get', 'i', 'like', 'most', 'travel', 'insurance', 'however', 'exces', 'didled', 'many', 'times', 'qantas', 'begining', 'pandemic', 'agred', 'leave', 'credit', 'qantas', 'thought', 'would', 'help', 'cashflow', 'help', 'maintain', 'qantas', 'response', 'ofered', 'extra', 'credit', 'top', 'credit', 'would', 'get', 'canceled', 'flight', 'went', 'rebok', 'afterwards', 'qantas', 'resumed', 'international', 'flights', 'found', 'price', 'flights', 'people', 'using', 'credit', 'higher', 'people', 'boking', 'paying', 'credit', 'card', 'boked', 'several', 'domestic', 'flights', 'early', 'canceled', 'got', 'refundcredit', 'used', 'love', 'flying', 'qantas', 'fod', 'god', 'suficient', 'available', 'frontline', 'staf', 'nice', 'however', 'inflight', 'entertainment', 'great', 'compared', 'airlines', 'days', 'treat', 'customers', 'teribly', 'qantas', 'mes', 'fly', 'again']",0
"""flight was delayed by 4 hours""","['trip', 'verified', 'worst', 'flight', 'ever', 'experienced', 'flight', 'delayed', 'hours', 'didn', 't', 'even', 'give', 'us', 'explanation', 'reason', 'delay', 'conecting', 'flight', 'destination', 'course', 'mised', 'pay', 'hefty', 'amount', 'new', 'boking', 'would', 'advise', 'avoid', 'qantas', 'prepared', 'delays', 'losing', 'time', 'money']",0
"""very disappointing experience""","['trip', 'verified', 'yet', 'another', 'disapointing', 'experience', 'qantas', 'ageing', 'aircraft', 'ageing', 'cabin', 'crew', 'disgusting', 'ofering', 'inflight', 'refreshments', 'airline', 'represents', 'worst', 'value', 'money', 'australian', 'skies', 'piza', 'much', 'grease', 'opening', 'box', 'honestly', 'would', 'fed', 'dog', 'flight', 'atendants', 'deplaned', 'vanished', 'pasengers', 'left', 'aircraft', 'despite', 'minutues', 'early', 'southerly', 'tailwind', 'landing', 'thats', 'qantas', 'credit', 'flight', 'morning', 'jetstar', 'beter', 'experience', 'shambles', 'qantas', 'become', 'se', 'as', 'service', 'long', 'theyl', 'busines']",0
“a very good flight”,"['trip', 'verified', 'enjoyed', 'flight', 'check', 'easy', 'boarding', 'aircraft', 'departure', 'time', 'staf', 'friendly', 'helpful', 'nice', 'soft', 'drinks', 'wine', 'ber', 'available', 'fod', 'quite', 'tasty', 'could', 'substantial', 'overal', 'god', 'flight']",0
"""I had been downgraded to economy""","['trip', 'verified', 'wife', 'boked', 'busines', 'clas', 'qantas', 'flight', 'sydney', 'alocated', 'seats', 'd', 'f', 'thirty', 'minutes', 'departure', 'informed', 'rude', 'ground', 'staf', 'member', 'downgraded', 'economy', 'separated', 'wife', 'apology', 'ofer', 'refundcompensation', 'made', 'wife', 'subsequently', 'found', 'seat', 'given', 'junior', 'staf', 'member', 'find', 'extraordinary', 'way', 'treating', 'loyal', 'customers', 'i', 'qantas', 'frequent', 'flyer', 'years', 'clearly', 'reason', 'qantas', 'brand', 'gone', 'first', 'australia', 'st', 'last', 'years']",0
"""disappointment, annoyance, furiously angry""","['verified', 'atempt', 'expres', 'disatisfaction', 'disapointment', 'anoyance', 'furiously', 'angry', 'especialy', 'p', 'd', 'qantas', 'policy', 'medical', 'emergency', 'response', 'husband', 'altercation', 'mercedes', 'suv', 'bicycle', 'lost', 'severe', 'spinal', 'cord', 'injury', 'can', 't', 'take', 'original', 'return', 'flight', 'april', 'th', 'wantare', 'defering', 'return', 'month', 'midmay', 'contacted', 'flighthub', 'online', 'boked', 'through', 'helpful', 'came', 'back', 'mesage', 'qantas', 'we', 'make', 'fare', 'changes', 'medical', 'emergencies', 'medical', 'certificatesdocuments', 'back', 'claim', 'return', 'portion', 'air', 'fare', 'aproximately', 'us', 'qantas', 'ofer', 'compensation', 'each', 'apart', 'ridiculous', 'it', 's', 'insult', 'start', 'scratch', 'bok', 'one', 'way', 'fare', 'long', 'distance', 'destination', 'tune', 'aproximately', 'each', 'spend', 'months', 'adelaide', 'october', 'april', 'months', 'toronto', 'canada', 'april', 'october', 'routine', 'past', 'thre', 'years', 'plan', 'kep', 'years', 'never', 'fly', 'qantas', 'again', 'angry', 'canceling', 'april', 'th', 'flight', 'going', 'no', 'shows', 'going', 'give', 'oportunity', 'resel', 'seats', 'sprit', 'australia', 's', 'customer', 'service', 'there', 's', 'comfort', 'we', 'sincerely', 'apologise']",0
"""Happy to fly with Qantas again""","['verified', 'im', 'giving', 'god', 'review', 'one', 'cabin', 'crew', 'flight', 'qf', 'brisbane', 'sydney', 'greted', 'purser', 'kimberly', 'waited', 'pasengers', 'make', 'way', 'cabin', 'found', 'kimberlys', 'day', 'working', 'help', 'back', 'log', 'flights', 'caused', 'floding', 'flight', 'cancelation', 'day', 'before', 'bubly', 'hapy', 'seated', 'continued', 'observe', 'helpful', 'knowledgeable', 'pasengers', 'staf', 'alike', 'hapy', 'fly', 'qantas', 'experience']",1
"""gentlemen who were extremely helpful""","['trip', 'verified', 'children', 'mised', 'flight', 'another', 'airline', 'dismisive', 'zero', 'help', 'stresed', 'mum', 'trying', 'navigate', 'buying', 'another', 'ticket', 'airline', 'could', 'take', 'them', 'qantas', 'helpful', 'airline', 'answered', 'stupid', 'questions', 'calmed', 'walked', 'do', 'two', 'gentlemen', 'extremely', 'helpful', 'unfortunately', 'remember', 'one', 'names', 'chris', 'thank', 'much', 'understand', 'much', 'helped']",1
"""Poor service and insensitive staff""","['trip', 'verified', 'april', 'together', 'spouse', 'parents', 'flew', 'adelaide', 'melbourne', 'thereafter', 'melbourne', 'singapore', 'legs', 'qantas', 'airlines', 'adelaide', 'isued', 'boarding', 'pas', 'legs', 'seats', 'asigned', 'staf', 'atended', 'us', 'adelaide', 'friendly', 'acomodating', 'melbourne', 'real', 'chaos', 'boarding', 'gate', 'staf', 'arived', 'late', 'able', 'provide', 'clear', 'instructions', 'pasengers', 'boarding', 'pasengers', 'expected', 'go', 'escalator', 'going', 'boarding', 'gate', 'due', 'por', 'instruction', 'management', 'safety', 'risks', 'especialy', 'old', 'people', 'pushed', 'anxious', 'pasengers', 'arived', 'busines', 'clas', 'queue', 'lady', 'counter', 'without', 'loking', 'tickets', 'pointed', 'us', 'economy', 'clas', 'queue', 'wel', 'end', 'there', 'asked', 'clarification', 'said', 'asumed', 'economy', 'clas', 'thereafter', 'able', 'scan', 'boarding', 'pas', 'isued', 'adelaide', 'asigned', 'another', 'seat', 'without', 'permision', 'excuse', 'being', 'electronic', 'device', 'working', 'separated', 'spouse', 'qantas', 'entertainment', 'aces', 'tablet', 'if', 'flight', 'device', 'working', 'had', 'regardles', 'seat', 'taken', 'away', 'without', 'permision', 'given', 'another', 'pasenger', 'later', 'found', 'partner', 'said', 'flight', 'pilot', 'make', 'maters', 'worst', 'left', 'seat', 'use', 'lavatory', 'flight', 'atendant', 'poured', 'water', 'glas', 'unfinished', 'wine', 'ounce', 'apology', 'made', 'funy', 'insensitive', 'coments', 'it', 'paid', 'busines', 'clas', 'tickets', 'yet', 'treated', 'porly', 'por', 'service', 'insensitive', 'staf', 'qantas', 'clas']",0
"""genuine improvement in service""","['trip', 'verified', 'last', 'months', 'flown', 'qantas', 'several', 'time', 'largely', 'sydney', 'melbourne', 'return', 'sydney', 'brisbane', 'return', 'time', 'experienced', 'genuine', 'improvement', 'service', 'punctuality', 'profesionalism', 'crew', 'recent', 'flight', 'sydney', 'melbourne', 'sydney', 'god', 'could', 'ever', 'be', 'flights', 'punctual', 'crew', 'welcoming', 'aircraft', 'impecably', 'clean', 'operational', 'crew', 'actively', 'helped', 'pasengers', 'comfortable', 'hanging', 'jackets', 'helping', 'arange', 'lugage', 'checking', 'se', 'help', 'required', 'melbourne', 'sydney', 'th', 'march', 'sat', 'aisle', 'seat', 'stod', 'let', 'window', 'pasenger', 'aces', 'aisle', 'bathrom', 'instantly', 'steward', 'apeared', 'ofered', 'hold', 'glas', 'water', 'spil', 'proces', 'shows', 'proactively', 'loking', 'ways', 'asist', 'pasengers', 'outstanding', 'service', 'fod', 'busines', 'clas', 'excelent', 'presented', 'pride', 'god', 'grace', 'fod', 'economy', 'also', 'quite', 'god', 'served', 'profesionaly', 'point', 'realy', 'want', 'make', 'last', 'two', 'years', 'service', 'improved', 'point', 'quite', 'exceptional', 'journeys', 'pleasant', 'result', 'case', 'think', 'might', 'aply', 'busines', 'asure', 'experienced', 'warm', 'welcomes', 'profesional', 'aproach', 'economy', 'crew', 'apear', 'genuinely', 'pleased', 'welcome', 'pasengers', 'board', 'wel', 'done', 'qantas', 'back', 'busines']",1
“Food was below average”,"['trip', 'verified', 'worst', 'cabin', 'crew', 'ever', 'experience', 'travel', 'with', 'rude', 'sulen', 'mean', 'felow', 'pasenger', 'behind', 'back', 'seats', 'tight', 'lack', 'legrom', 'inflight', 'entertainment', 'sub', 'standard', 'maybe', 'get', 'basic', 'ideas', 'emirates', 'fod', 'average', 'served', 'indiference', 'catle', 'clas', 'airline', 'never', 'travel', 'again']",0
